section,mclust_cluster,n_chapters,pct_section
Isaiah_1_35,1,30,0.8571428571428571
Isaiah_1_35,3,5,0.14285714285714285
Isaiah_36_39,1,2,0.5
Isaiah_36_39,2,1,0.25
Isaiah_36_39,5,1,0.25
Isaiah_40_55,1,12,0.75
Isaiah_40_55,2,1,0.0625
Isaiah_40_55,3,2,0.125
Isaiah_40_55,5,1,0.0625
Isaiah_56_66,1,9,0.8181818181818182
Isaiah_56_66,2,1,0.09090909090909091
Isaiah_56_66,5,1,0.09090909090909091
