G,model,BIC
1,EEI,-43183.11170794
2,VVV,-42269.056135288396
3,VEV,-41990.28812139535
4,VVV,-41661.856046674984
5,VEV,-41575.97318198879
6,VEV,-41517.000505817814
7,VEV,-41549.398368999675
8,VEV,-41632.034585016205
9,VEV,-41629.27213788929
10,VVE,-41646.44920208471
11,VVE,-41691.114344281064
12,VVE,-41651.570894038865
