author,n_pairs,mean_pairwise_distance,median_pairwise_distance,sd_pairwise_distance,max_pairwise_distance,n_docs.x,mean_centroid_distance,median_centroid_distance,sd_centroid_distance,max_centroid_distance,n_docs.y,sd_PC1,sd_PC2,mean_radial_distance,hull_area_PC1_PC2,observed_mean_distance,p_greater
Joseph Smith,91,16.314927418989523,16.70942884507568,2.886772369877358,21.995354092233438,14,11.023146861839864,10.962038398493194,2.520455438429881,14.672504133091595,14,3.428683790942569,3.693692735570209,4.214347563676316,85.23704415700702,16.314927418989523,0
Oliver Cowdery,120,13.740054181993706,13.504376747074522,4.4869736939917395,23.486113884423975,16,9.17523658307266,8.006407096570827,3.8183538679766675,16.995223434501316,16,4.362452932201891,2.6858495981907615,4.0015031803486005,93.79051371974803,13.740054181993706,0.121
Sidney Rigdon,990,10.417972658519522,9.972592651509881,2.376739638915577,17.982232905114213,45,7.201915171967364,6.682917511454811,2.0105419686510566,13.189302642301723,45,1.8420130774426657,2.128289991335522,2.2430215379886738,54.49706918737983,10.417972658519522,1
