doc_id_1,doc_id_2,distance,author_1,short_name_1,author_2,short_name_2,comparison_type,author_pair
JS-13,JS-7,16.003612464965286,Joseph Smith,JS-13,Joseph Smith,JS-7,within_author,Joseph Smith
JS-14,JS-7,15.14195215077635,Joseph Smith,JS-14,Joseph Smith,JS-7,within_author,Joseph Smith
JS-1,JS-8,12.716597050865417,Joseph Smith,JS-1,Joseph Smith,JS-8,within_author,Joseph Smith
JS-2,JS-8,19.62671803124584,Joseph Smith,JS-2,Joseph Smith,JS-8,within_author,Joseph Smith
JS-3,JS-8,15.112711608301517,Joseph Smith,JS-3,Joseph Smith,JS-8,within_author,Joseph Smith
JS-4,JS-8,17.188857051254942,Joseph Smith,JS-4,Joseph Smith,JS-8,within_author,Joseph Smith
JS-5,JS-8,14.15130742111295,Joseph Smith,JS-5,Joseph Smith,JS-8,within_author,Joseph Smith
JS-6,JS-8,18.72335761768476,Joseph Smith,JS-6,Joseph Smith,JS-8,within_author,Joseph Smith
JS-7,JS-8,10.747608369231598,Joseph Smith,JS-7,Joseph Smith,JS-8,within_author,Joseph Smith
JS-10,JS-8,20.224005301221077,Joseph Smith,JS-10,Joseph Smith,JS-8,within_author,Joseph Smith
JS-11,JS-8,19.803029605282205,Joseph Smith,JS-11,Joseph Smith,JS-8,within_author,Joseph Smith
JS-12,JS-8,18.51195691573858,Joseph Smith,JS-12,Joseph Smith,JS-8,within_author,Joseph Smith
JS-13,JS-8,19.330767097795988,Joseph Smith,JS-13,Joseph Smith,JS-8,within_author,Joseph Smith
JS-14,JS-8,17.638217163614158,Joseph Smith,JS-14,Joseph Smith,JS-8,within_author,Joseph Smith
JS-1,JS-9,12.309910897574698,Joseph Smith,JS-1,Joseph Smith,JS-9,within_author,Joseph Smith
JS-2,JS-9,17.708595223111683,Joseph Smith,JS-2,Joseph Smith,JS-9,within_author,Joseph Smith
JS-3,JS-9,14.53552476530902,Joseph Smith,JS-3,Joseph Smith,JS-9,within_author,Joseph Smith
JS-4,JS-9,12.7597461276926,Joseph Smith,JS-4,Joseph Smith,JS-9,within_author,Joseph Smith
JS-5,JS-9,11.361642357586,Joseph Smith,JS-5,Joseph Smith,JS-9,within_author,Joseph Smith
JS-6,JS-9,17.097808420457152,Joseph Smith,JS-6,Joseph Smith,JS-9,within_author,Joseph Smith
JS-7,JS-9,11.843665104169023,Joseph Smith,JS-7,Joseph Smith,JS-9,within_author,Joseph Smith
JS-8,JS-9,13.174732349084179,Joseph Smith,JS-8,Joseph Smith,JS-9,within_author,Joseph Smith
JS-10,JS-9,17.77587189119489,Joseph Smith,JS-10,Joseph Smith,JS-9,within_author,Joseph Smith
JS-11,JS-9,19.02606742702375,Joseph Smith,JS-11,Joseph Smith,JS-9,within_author,Joseph Smith
JS-12,JS-9,15.614256156746256,Joseph Smith,JS-12,Joseph Smith,JS-9,within_author,Joseph Smith
JS-13,JS-9,16.141274353705686,Joseph Smith,JS-13,Joseph Smith,JS-9,within_author,Joseph Smith
JS-14,JS-9,15.21607630765557,Joseph Smith,JS-14,Joseph Smith,JS-9,within_author,Joseph Smith
JS-1,JS-10,17.695044832134315,Joseph Smith,JS-1,Joseph Smith,JS-10,within_author,Joseph Smith
JS-1,JS-11,16.44144203141262,Joseph Smith,JS-1,Joseph Smith,JS-11,within_author,Joseph Smith
JS-10,JS-11,19.560694264595973,Joseph Smith,JS-10,Joseph Smith,JS-11,within_author,Joseph Smith
JS-1,JS-12,12.533385076941487,Joseph Smith,JS-1,Joseph Smith,JS-12,within_author,Joseph Smith
JS-10,JS-12,18.059425997073777,Joseph Smith,JS-10,Joseph Smith,JS-12,within_author,Joseph Smith
JS-11,JS-12,18.606456778578583,Joseph Smith,JS-11,Joseph Smith,JS-12,within_author,Joseph Smith
JS-1,JS-13,15.393473987442606,Joseph Smith,JS-1,Joseph Smith,JS-13,within_author,Joseph Smith
JS-10,JS-13,18.095308859158266,Joseph Smith,JS-10,Joseph Smith,JS-13,within_author,Joseph Smith
JS-11,JS-13,20.8944072855963,Joseph Smith,JS-11,Joseph Smith,JS-13,within_author,Joseph Smith
JS-12,JS-13,17.77386391456016,Joseph Smith,JS-12,Joseph Smith,JS-13,within_author,Joseph Smith
JS-1,JS-14,13.143425863442348,Joseph Smith,JS-1,Joseph Smith,JS-14,within_author,Joseph Smith
JS-10,JS-14,18.15450028652989,Joseph Smith,JS-10,Joseph Smith,JS-14,within_author,Joseph Smith
JS-11,JS-14,19.824478390093674,Joseph Smith,JS-11,Joseph Smith,JS-14,within_author,Joseph Smith
JS-12,JS-14,16.29176382525449,Joseph Smith,JS-12,Joseph Smith,JS-14,within_author,Joseph Smith
JS-13,JS-14,15.623823470431192,Joseph Smith,JS-13,Joseph Smith,JS-14,within_author,Joseph Smith
JS-1,OC-1,10.76200958754879,Joseph Smith,JS-1,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-2,OC-1,16.630192306742384,Joseph Smith,JS-2,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-3,OC-1,12.2251034510536,Joseph Smith,JS-3,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-4,OC-1,13.951367378251254,Joseph Smith,JS-4,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-5,OC-1,10.48945145212347,Joseph Smith,JS-5,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-6,OC-1,17.229285176962374,Joseph Smith,JS-6,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-7,OC-1,8.28157416094394,Joseph Smith,JS-7,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-8,OC-1,12.817703528975246,Joseph Smith,JS-8,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-9,OC-1,11.629317176952064,Joseph Smith,JS-9,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-10,OC-1,17.49976735037868,Joseph Smith,JS-10,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-11,OC-1,17.822436652515446,Joseph Smith,JS-11,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-12,OC-1,13.933154375233807,Joseph Smith,JS-12,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-13,OC-1,16.28609733832248,Joseph Smith,JS-13,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-14,OC-1,14.72811701413845,Joseph Smith,JS-14,Oliver Cowdery,OC-1,between_author,Joseph Smith / Oliver Cowdery
JS-1,OC-2,7.811057594769612,Joseph Smith,JS-1,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-2,OC-2,16.081628182068794,Joseph Smith,JS-2,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-3,OC-2,11.151650568013372,Joseph Smith,JS-3,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-4,OC-2,12.613924964947847,Joseph Smith,JS-4,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-5,OC-2,7.7955188147618255,Joseph Smith,JS-5,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-6,OC-2,16.05963458066091,Joseph Smith,JS-6,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-7,OC-2,9.12274919020489,Joseph Smith,JS-7,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-8,OC-2,11.741011366004242,Joseph Smith,JS-8,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-9,OC-2,9.752724830176358,Joseph Smith,JS-9,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-10,OC-2,17.207633728135452,Joseph Smith,JS-10,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-11,OC-2,16.674616518311907,Joseph Smith,JS-11,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-12,OC-2,14.163599700841209,Joseph Smith,JS-12,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-13,OC-2,15.313011991920181,Joseph Smith,JS-13,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
JS-14,OC-2,13.204254862812963,Joseph Smith,JS-14,Oliver Cowdery,OC-2,between_author,Joseph Smith / Oliver Cowdery
OC-1,OC-2,7.496682531014362,Oliver Cowdery,OC-1,Oliver Cowdery,OC-2,within_author,Oliver Cowdery
OC-10,OC-2,13.383866371672685,Oliver Cowdery,OC-10,Oliver Cowdery,OC-2,within_author,Oliver Cowdery
OC-11,OC-2,7.5617180845142435,Oliver Cowdery,OC-11,Oliver Cowdery,OC-2,within_author,Oliver Cowdery
OC-12,OC-2,14.22176817508359,Oliver Cowdery,OC-12,Oliver Cowdery,OC-2,within_author,Oliver Cowdery
OC-13,OC-2,13.919737631977748,Oliver Cowdery,OC-13,Oliver Cowdery,OC-2,within_author,Oliver Cowdery
OC-14,OC-2,10.330253512066463,Oliver Cowdery,OC-14,Oliver Cowdery,OC-2,within_author,Oliver Cowdery
OC-15,OC-2,19.41343769716686,Oliver Cowdery,OC-15,Oliver Cowdery,OC-2,within_author,Oliver Cowdery
OC-16,OC-2,11.939307866472184,Oliver Cowdery,OC-16,Oliver Cowdery,OC-2,within_author,Oliver Cowdery
JS-1,OC-3,10.334703780394621,Joseph Smith,JS-1,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-2,OC-3,17.254110029293862,Joseph Smith,JS-2,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-3,OC-3,12.976306250306054,Joseph Smith,JS-3,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-4,OC-3,12.113212539432787,Joseph Smith,JS-4,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-5,OC-3,9.283829180529041,Joseph Smith,JS-5,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-6,OC-3,16.695435316796665,Joseph Smith,JS-6,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-7,OC-3,10.183435310593108,Joseph Smith,JS-7,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-8,OC-3,10.392662572549535,Joseph Smith,JS-8,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-9,OC-3,8.721032837332606,Joseph Smith,JS-9,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-10,OC-3,18.174453196482744,Joseph Smith,JS-10,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-11,OC-3,17.308961332963833,Joseph Smith,JS-11,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-12,OC-3,15.037728070736462,Joseph Smith,JS-12,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-13,OC-3,16.989501452303813,Joseph Smith,JS-13,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
JS-14,OC-3,15.24419383970026,Joseph Smith,JS-14,Oliver Cowdery,OC-3,between_author,Joseph Smith / Oliver Cowdery
OC-1,OC-3,8.950892353141722,Oliver Cowdery,OC-1,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
OC-2,OC-3,7.033850161782879,Oliver Cowdery,OC-2,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
OC-10,OC-3,15.21616704583581,Oliver Cowdery,OC-10,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
OC-11,OC-3,7.068008661178431,Oliver Cowdery,OC-11,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
OC-12,OC-3,14.350408989611845,Oliver Cowdery,OC-12,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
OC-13,OC-3,13.250638551966638,Oliver Cowdery,OC-13,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
OC-14,OC-3,11.080930539581002,Oliver Cowdery,OC-14,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
OC-15,OC-3,19.647606704232757,Oliver Cowdery,OC-15,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
OC-16,OC-3,13.303890391411224,Oliver Cowdery,OC-16,Oliver Cowdery,OC-3,within_author,Oliver Cowdery
JS-1,OC-4,8.65587792474676,Joseph Smith,JS-1,Oliver Cowdery,OC-4,between_author,Joseph Smith / Oliver Cowdery
