page_order,chapter,website_section_id,section_numbers,chapter_title,source_url,cache_path,n_verses,min_verse,max_verse,n_words
98,103,103,103,Section 103 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-103/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_103.html,7,1,7,1158
99,104,104,104,Section 104 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-104/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_104.html,13,1,13,2553
100,105,105,105,Section 105 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-105/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_105.html,11,1,11,1242
101,106,106,106,Section 106 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-106/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_106.html,3,1,3,252
102,107,107,107,Section 107 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-107/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_107.html,44,1,44,2932
103,108,108-109-110-111-112,"108,109,110,111,112","Sections 108, 109, 110, 111 & 112 (1835 Doctrine and Covenants)",https://doctrineandcovenants.com/sections/1835dcs/sections-108-109-110-111-112/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_108-109-110-111-112.html,13,1,13,1070
104,113,113-114-115-116-117-118-119,"113,114,115,116,117,118,119","Sections 113, 114, 115, 116, 117, 118 & 119 (1835 Doctrine and Covenants)",https://doctrineandcovenants.com/sections/1835dcs/sections-113-114-115-116-117-118-119/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_113-114-115-116-117-118-119.html,2,1,2,217
105,120,120-121-122-123-124,"120,121,122,123,124","Sections 120, 121, 122, 123 & 124 (1835 Doctrine and Covenants)",https://doctrineandcovenants.com/sections/1835dcs/sections-120-121-122-123-124/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_120-121-122-123-124.html,45,1,45,5449
106,125,125-126-127,"125,126,127","Sections 125, 126 & 127 (1835 Doctrine and Covenants)",https://doctrineandcovenants.com/sections/1835dcs/sections-125-126-127/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_125-126-127.html,9,1,9,740
107,128,128,128,Section 128 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-128/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_128.html,25,1,25,2463
108,129,129-130-131-132-133,"129,130,131,132,133","Sections 129, 130, 131, 132 & 133 (1835 Doctrine and Covenants)",https://doctrineandcovenants.com/sections/1835dcs/sections-129-130-131-132-133/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_129-130-131-132-133.html,8,1,8,2012
109,134,134,134,Section 134 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-134/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_134.html,5,1,5,258
