page_order,source_url,website_section_id,section_numbers,chapter,cache_path
11,https://doctrineandcovenants.com/sections/1835dcs/section-12/,12,12,12,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_12.html
12,https://doctrineandcovenants.com/sections/1835dcs/sections-13-14/,13-14,"13,14",13,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_13-14.html
13,https://doctrineandcovenants.com/sections/1835dcs/section-15/,15,15,15,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_15.html
14,https://doctrineandcovenants.com/sections/1835dcs/section-16/,16,16,16,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_16.html
15,https://doctrineandcovenants.com/sections/1835dcs/section-17/,17,17,17,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_17.html
16,https://doctrineandcovenants.com/sections/1835dcs/section-18/,18,18,18,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_18.html
17,https://doctrineandcovenants.com/sections/1835dcs/section-19/,19,19,19,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_19.html
18,https://doctrineandcovenants.com/sections/1835dcs/section-20/,20,20,20,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_20.html
19,https://doctrineandcovenants.com/sections/1835dcs/section-21/,21,21,21,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_21.html
20,https://doctrineandcovenants.com/sections/1835dcs/section-22/,22,22,22,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_22.html
21,https://doctrineandcovenants.com/sections/1835dcs/section-23/,23,23,23,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_23.html
22,https://doctrineandcovenants.com/sections/1835dcs/section-24/,24,24,24,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_24.html
23,https://doctrineandcovenants.com/sections/1835dcs/section-25/,25,25,25,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_25.html
24,https://doctrineandcovenants.com/sections/1835dcs/section-26/,26,26,26,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_26.html
25,https://doctrineandcovenants.com/sections/1835dcs/section-27/,27,27,27,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_27.html
26,https://doctrineandcovenants.com/sections/1835dcs/section-28/,28,28,28,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_28.html
27,https://doctrineandcovenants.com/sections/1835dcs/section-29/,29,29,29,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_29.html
28,https://doctrineandcovenants.com/sections/1835dcs/section-30/,30,30,30,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_30.html
29,https://doctrineandcovenants.com/sections/1835dcs/section-31/,31,31,31,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_31.html
