page_order,source_url,website_section_id,section_numbers,chapter,cache_path,ok,file_size
11,https://doctrineandcovenants.com/sections/1835dcs/section-12/,12,12,12,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_12.html,TRUE,126998
12,https://doctrineandcovenants.com/sections/1835dcs/sections-13-14/,13-14,"13,14",13,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_13-14.html,TRUE,127322
13,https://doctrineandcovenants.com/sections/1835dcs/section-15/,15,15,15,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_15.html,TRUE,126290
14,https://doctrineandcovenants.com/sections/1835dcs/section-16/,16,16,16,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_16.html,TRUE,126097
15,https://doctrineandcovenants.com/sections/1835dcs/section-17/,17,17,17,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_17.html,TRUE,127215
16,https://doctrineandcovenants.com/sections/1835dcs/section-18/,18,18,18,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_18.html,TRUE,131889
17,https://doctrineandcovenants.com/sections/1835dcs/section-19/,19,19,19,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_19.html,TRUE,131824
18,https://doctrineandcovenants.com/sections/1835dcs/section-20/,20,20,20,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_20.html,TRUE,140371
19,https://doctrineandcovenants.com/sections/1835dcs/section-21/,21,21,21,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_21.html,TRUE,127481
20,https://doctrineandcovenants.com/sections/1835dcs/section-22/,22,22,22,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_22.html,TRUE,126194
21,https://doctrineandcovenants.com/sections/1835dcs/section-23/,23,23,23,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_23.html,TRUE,127248
22,https://doctrineandcovenants.com/sections/1835dcs/section-24/,24,24,24,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_24.html,TRUE,129092
23,https://doctrineandcovenants.com/sections/1835dcs/section-25/,25,25,25,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_25.html,TRUE,127717
24,https://doctrineandcovenants.com/sections/1835dcs/section-26/,26,26,26,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_26.html,TRUE,125839
25,https://doctrineandcovenants.com/sections/1835dcs/section-27/,27,27,27,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_27.html,TRUE,128988
26,https://doctrineandcovenants.com/sections/1835dcs/section-28/,28,28,28,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_28.html,TRUE,128121
27,https://doctrineandcovenants.com/sections/1835dcs/section-29/,29,29,29,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_29.html,TRUE,135316
28,https://doctrineandcovenants.com/sections/1835dcs/section-30/,30,30,30,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_30.html,TRUE,127450
29,https://doctrineandcovenants.com/sections/1835dcs/section-31/,31,31,31,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_31.html,TRUE,127374
30,https://doctrineandcovenants.com/sections/1835dc/section-32/,32,32,32,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_32.html,TRUE,126101
31,https://doctrineandcovenants.com/sections/1835dcs/section-33/,33,33,33,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_33.html,TRUE,128255
32,https://doctrineandcovenants.com/sections/1835dcs/section-34/,34,34,34,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_34.html,TRUE,126845
33,https://doctrineandcovenants.com/sections/1835dcs/section-35/,35,35,35,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_35.html,TRUE,129956
34,https://doctrineandcovenants.com/sections/1835dcs/section-36/,36,36,36,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_36.html,TRUE,126692
35,https://doctrineandcovenants.com/sections/1835dcs/section-37/,37,37,37,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_37.html,TRUE,125989
36,https://doctrineandcovenants.com/sections/1835dcs/section-38/,38,38,38,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_38.html,TRUE,132375
37,https://doctrineandcovenants.com/sections/1835dcs/section-39/,39,39,39,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_39.html,TRUE,129097
38,https://doctrineandcovenants.com/sections/1835dcs/section-40/,40,40,40,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_40.html,TRUE,125743
39,https://doctrineandcovenants.com/sections/1835dcs/section-41/,41,41,41,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_41.html,TRUE,127325
40,https://doctrineandcovenants.com/sections/1835dcs/section-42/,42,42,42,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_42.html,TRUE,140634
41,https://doctrineandcovenants.com/sections/1835dcs/section-43/,43,43,43,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_43.html,TRUE,131516
42,https://doctrineandcovenants.com/sections/1835dcs/section-44/,44,44,44,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_44.html,TRUE,126449
43,https://doctrineandcovenants.com/sections/1835dcs/section-45/,45,45,45,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_45.html,TRUE,137695
44,https://doctrineandcovenants.com/sections/1835dcs/section-46/,46,46,46,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_46.html,TRUE,130271
45,https://doctrineandcovenants.com/sections/1835dcs/section-47/,47,47,47,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_47.html,TRUE,126112
46,https://doctrineandcovenants.com/sections/1835dcs/section-48/,48,48,48,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_48.html,TRUE,126540
47,https://doctrineandcovenants.com/sections/1835dcs/section-49/,49,49,49,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_49.html,TRUE,129806
48,https://doctrineandcovenants.com/sections/1835dcs/section-50/,50,50,50,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_50.html,TRUE,131859
49,https://doctrineandcovenants.com/sections/1835dcs/section-51/,51,51,51,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_51.html,TRUE,128568
50,https://doctrineandcovenants.com/sections/1835dcs/section-52/,52,52,52,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_52.html,TRUE,131665
51,https://doctrineandcovenants.com/sections/1835dcs/section-53/,53,53,53,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_53.html,TRUE,126594
52,https://doctrineandcovenants.com/sections/1835dcs/section-54/,54,54,54,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_54.html,TRUE,126771
53,https://doctrineandcovenants.com/sections/1835dcs/section-55/,55,55,55,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_55.html,TRUE,126682
54,https://doctrineandcovenants.com/sections/1835dcs/section-56/,56,56,56,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_56.html,TRUE,129473
55,https://doctrineandcovenants.com/sections/1835dcs/section-57/,57,57,57,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_57.html,TRUE,128774
56,https://doctrineandcovenants.com/sections/1835dcs/section-58/,58,58,58,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_58.html,TRUE,135669
57,https://doctrineandcovenants.com/sections/1835dcs/section-59/,59,59,59,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_59.html,TRUE,129037
58,https://doctrineandcovenants.com/sections/1835dcs/section-60/,60,60,60,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_60.html,TRUE,128189
59,https://doctrineandcovenants.com/sections/1835dcs/section-61/,61,61,61,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_61.html,TRUE,131498
60,https://doctrineandcovenants.com/sections/1835dcs/section-62/,62,62,62,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_62.html,TRUE,126408
61,https://doctrineandcovenants.com/sections/1835dcs/section-63/,63,63,63,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_63.html,TRUE,136217
62,https://doctrineandcovenants.com/sections/1835dcs/section-64/,64,64,64,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_64.html,TRUE,132106
63,https://doctrineandcovenants.com/sections/1835dcs/section-65/,65,65,65,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_65.html,TRUE,126418
64,https://doctrineandcovenants.com/sections/1835dcs/section-66/,66,66,66,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_66.html,TRUE,127900
65,https://doctrineandcovenants.com/sections/1835dcs/section-67/,67,67,67,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_67.html,TRUE,127776
66,https://doctrineandcovenants.com/sections/1835dcs/section-68/,68,68,68,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_68.html,TRUE,131384
67,https://doctrineandcovenants.com/sections/1835dcs/section-69/,69,69,69,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_69.html,TRUE,126634
68,https://doctrineandcovenants.com/sections/1835dcs/section-70/,70,70,70,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_70.html,TRUE,128321
