chapter,doc_id,actual_section,winner,winner_matches_actual_section,winner_pct_votes_pct,winner_weighted_pct_votes_pct,vote_margin_pct,weighted_vote_margin_pct,winner_dominance_ratio,consensus_strength,elbow_rank,doc_entropy,effective_targets,n_targets
1,Isaiah_1,Isaiah_1_35,Isaiah_1_35,TRUE,58.620689655172406,59.28411633109619,48.275862068965516,45.86129753914988,5.666666666666666,2.497536469332592,1,2.091023898457943,4.260503388861481,8
2,Isaiah_2,Isaiah_1_35,Isaiah_1_35,TRUE,75.86206896551724,85.01118568232661,68.9655172413793,76.06263982102908,11,1.827052356627286,1,1.268067353402726,2.4083871973723316,5
3,Isaiah_3,Isaiah_1_35,Isaiah_1_35,TRUE,58.620689655172406,62.639821029082775,37.93103448275862,35.79418344519016,2.833333333333333,2.1251704965618865,1,1.858096743210927,3.6252908470761596,7
4,Isaiah_4,Isaiah_1_35,Isaiah_1_35,TRUE,51.724137931034484,53.691275167785236,41.379310344827594,40.26845637583892,5,2.551357892087895,1,2.3023556869049955,4.932625258036597,8
5,Isaiah_5,Isaiah_1_35,Isaiah_1_35,TRUE,48.275862068965516,49.21700223713646,34.48275862068966,31.319910514541387,3.5,2.3844156300990917,1,2.3042618085424023,4.939146662348119,7
6,Isaiah_6,Isaiah_1_35,Isaiah_1_35,TRUE,44.827586206896555,45.86129753914989,31.03448275862069,27.96420581655481,3.25,2.7584678616152982,1,2.6214084489897216,6.153505229757204,10
7,Isaiah_7,Isaiah_1_35,Isaiah_1_35,TRUE,82.75862068965517,89.26174496644295,79.3103448275862,84.78747203579418,24,1.7296867375925118,1,1.063529270392822,2.0900381412576183,6
8,Isaiah_8,Isaiah_1_35,Isaiah_1_35,TRUE,62.06896551724138,67.11409395973155,51.724137931034484,56.59955257270693,6,2.428058224631536,1,1.9678590113991206,3.9118715841285856,8
9,Isaiah_9,Isaiah_1_35,Isaiah_1_35,TRUE,68.96551724137932,76.0626398210291,58.62068965517242,66.2192393736018,6.666666666666667,2.055366055256139,1,1.5754482571996165,2.9802807801214017,6
10,Isaiah_10,Isaiah_1_35,Isaiah_1_35,TRUE,72.41379310344827,77.18120805369126,65.51724137931035,68.23266219239372,10.5,2.006633610184927,1,1.4704407924257112,2.7710654616839467,6
11,Isaiah_11,Isaiah_1_35,Isaiah_1_35,TRUE,62.06896551724138,67.11409395973155,48.275862068965516,55.70469798657718,4.5,2.206671663572393,1,1.829927976916362,3.5551932357555223,7
12,Isaiah_12,Isaiah_1_35,Psalms,FALSE,37.93103448275862,44.742729306487696,24.137931034482758,26.845637583892625,2.75,2.0616295807690053,1,2.4423345190927352,5.435205258391014,7
13,Isaiah_13,Isaiah_1_35,Isaiah_1_35,TRUE,68.96551724137932,76.0626398210291,55.172413793103445,63.982102908277405,5,1.9950991468416919,1,1.5325133434811153,2.892893762920453,6
14,Isaiah_14,Isaiah_1_35,Isaiah_1_35,TRUE,51.724137931034484,53.691275167785236,41.379310344827594,40.26845637583892,5,2.4322639014064316,1,2.2333901696636165,4.702376876052434,7
15,Isaiah_15,Isaiah_1_35,Isaiah_1_35,TRUE,58.620689655172406,62.639821029082775,44.82758620689655,48.09843400447428,4.25,2.2698149903102993,1,1.9530928639751846,3.872037336411687,7
16,Isaiah_16,Isaiah_1_35,Isaiah_1_35,TRUE,68.96551724137932,76.0626398210291,55.172413793103445,58.16554809843401,5,1.86796098478675,1,1.4375172227168578,2.7085434279407874,5
17,Isaiah_17,Isaiah_1_35,Isaiah_1_35,TRUE,68.96551724137932,72.48322147651007,58.62068965517242,59.06040268456375,6.666666666666667,2.156005523567999,1,1.6444137744409957,3.1262080091735984,7
18,Isaiah_18,Isaiah_1_35,Isaiah_1_35,TRUE,55.172413793103445,58.165548098433995,37.93103448275862,45.190156599552566,3.1999999999999997,2.1300367851814177,1,1.9488593407620451,3.8606916731413192,6
19,Isaiah_19,Isaiah_1_35,Isaiah_1_35,TRUE,62.06896551724138,67.11409395973155,51.724137931034484,60.85011185682326,6,2.428058224631536,1,1.9678590113991206,3.9118715841285856,8
20,Isaiah_20,Isaiah_1_35,Isaiah_1_35,TRUE,31.03448275862069,31.319910514541387,13.793103448275861,13.422818791946312,1.8,2.3102804622042203,1,2.8961239954868447,7.444237044880265,10
21,Isaiah_21,Isaiah_1_35,Isaiah_1_35,TRUE,51.724137931034484,50.33557046979866,37.931034482758626,32.43847874720358,3.7500000000000004,2.0827633254540516,1,2.0095893077438554,4.0266757625444995,6
22,Isaiah_22,Isaiah_1_35,Isaiah_1_35,TRUE,41.37931034482759,40.26845637583893,17.241379310344826,16.10738255033557,1.7142857142857142,1.847569816256593,1,2.1586473765932994,4.464960389286766,6
23,Isaiah_23,Isaiah_1_35,Isaiah_1_35,TRUE,48.275862068965516,45.86129753914989,34.48275862068966,27.96420581655481,3.5,2.4278282050101634,1,2.3302924120652806,5.029072710378196,8
24,Isaiah_24,Isaiah_1_35,Isaiah_1_35,TRUE,58.620689655172406,59.28411633109619,44.82758620689655,47.20357941834451,4.25,2.163863047565236,1,1.8841273467338053,3.691295787023049,6
25,Isaiah_25,Isaiah_1_35,Isaiah_1_35,TRUE,55.172413793103445,54.58612975391499,44.827586206896555,41.163310961968676,5.333333333333333,2.5549228747551536,1,2.21126073643228,4.630797710493716,8
26,Isaiah_26,Isaiah_1_35,Psalms,FALSE,48.275862068965516,60.40268456375838,27.586206896551722,44.74272930648769,2.3333333333333335,1.9523392099209589,1,2.015829809349289,4.0441312205505575,6
27,Isaiah_27,Isaiah_1_35,Isaiah_1_35,TRUE,58.620689655172406,57.94183445190156,48.275862068965516,44.51901565995525,5.666666666666666,2.619826482695583,1,2.1599894156993225,4.469115764598348,9
28,Isaiah_28,Isaiah_1_35,Isaiah_1_35,TRUE,51.724137931034484,53.691275167785236,37.931034482758626,39.37360178970917,3.7500000000000004,2.6451077534381224,1,2.354416893950752,5.11387498998037,9
29,Isaiah_29,Isaiah_1_35,Isaiah_1_35,TRUE,68.96551724137932,76.0626398210291,55.172413793103445,70.917225950783,5,1.78076705217329,1,1.3685517054754786,2.58211222565127,4
30,Isaiah_30,Isaiah_1_35,Isaiah_1_35,TRUE,68.96551724137932,76.0626398210291,58.62068965517242,65.99552572706936,6.666666666666667,1.9243873702975236,1,1.480452136435359,2.790361686931409,5
31,Isaiah_31,Isaiah_1_35,Isaiah_1_35,TRUE,41.37931034482759,40.26845637583892,27.586206896551722,22.371364653243848,3,2.305337566915135,1,2.477996512070542,5.571232453378243,8
32,Isaiah_32,Isaiah_1_35,Isaiah_1_35,TRUE,68.96551724137932,76.0626398210291,58.62068965517242,62.639821029082775,6.666666666666667,2.156005523567999,1,1.6444137744409957,3.1262080091735984,7
33,Isaiah_33,Isaiah_1_35,Isaiah_1_35,TRUE,72.41379310344827,80.53691275167786,65.51724137931035,75.16778523489933,10.5,2.207951151710496,1,1.6083718269084697,3.0490753999811617,8
34,Isaiah_34,Isaiah_1_35,Isaiah_1_35,TRUE,62.06896551724138,67.11409395973155,48.275862068965516,49.21700223713646,4.5,1.9696104826042238,1,1.665966338910725,3.1732613330845827,5
35,Isaiah_35,Isaiah_1_35,Isaiah_1_35,TRUE,75.86206896551724,81.65548098434004,65.51724137931035,74.04921700223713,7.333333333333333,1.882242995758963,1,1.311002267121227,2.4811384944095423,6
