doc_id,neighbor_doc_id,similarity,rank
Isaiah_11,Isaiah_40_55,0.6401544569317028,7
Isaiah_11,2 Kings,0.6286206106501735,8
Isaiah_11,1 Kings,0.6262150643377951,9
Isaiah_11,Isaiah_36_39,0.6062648860994717,10
Isaiah_12,Psalms,0.5522607360264034,1
Isaiah_12,Isaiah_40_55,0.5354176540625758,2
Isaiah_12,Isaiah_1_35,0.5287919540305555,3
Isaiah_12,Isaiah_56_66,0.5237716237978179,4
Isaiah_12,Job,0.5126819297357197,5
Isaiah_12,Hosea,0.5120091588477013,6
Isaiah_12,Jeremiah,0.4992075651020659,7
Isaiah_12,Isaiah_36_39,0.49839801283940655,8
Isaiah_12,Ezekiel,0.48973766146403414,9
Isaiah_12,Amos,0.48373427404379027,10
Isaiah_13,Isaiah_1_35,0.7394012830153276,1
Isaiah_13,Ezekiel,0.6752371931206085,2
Isaiah_13,Hosea,0.6738269931275228,3
Isaiah_13,Isaiah_56_66,0.6716452422311077,4
Isaiah_13,Jeremiah,0.6679445047685086,5
Isaiah_13,Isaiah_40_55,0.6531596965297362,6
Isaiah_13,Amos,0.640494946264201,7
Isaiah_13,Isaiah_36_39,0.6041512921752192,8
Isaiah_13,Psalms,0.6027016418865743,9
Isaiah_13,Job,0.59950141267921,10
Isaiah_14,Isaiah_1_35,0.7696946618739663,1
Isaiah_14,Jeremiah,0.7280563920942492,2
Isaiah_14,Ezekiel,0.7190138846952459,3
Isaiah_14,Isaiah_40_55,0.7154044163250033,4
Isaiah_14,Isaiah_56_66,0.7121332602987874,5
Isaiah_14,Amos,0.6983115714990785,6
Isaiah_14,Psalms,0.6950084668649007,7
Isaiah_14,Hosea,0.6925801773862112,8
Isaiah_14,Job,0.6811079963576558,9
Isaiah_14,Isaiah_36_39,0.6699642146359774,10
Isaiah_15,Isaiah_1_35,0.6047411394186317,1
Isaiah_15,Hosea,0.5585460401057851,2
Isaiah_15,Jeremiah,0.55775982341229835,3
Isaiah_15,Ezekiel,0.5487856638693459,4
Isaiah_15,Isaiah_56_66,0.5468039100065681,5
Isaiah_15,Amos,0.541329168813853,6
Isaiah_15,Isaiah_40_55,0.5303832889387395,7
Isaiah_15,Isaiah_36_39,0.5202719992850168,8
Isaiah_15,2 Kings,0.5115006384054152,9
Isaiah_15,1 Kings,0.5097871651933285,10
Isaiah_16,Isaiah_1_35,0.6962615493100845,1
Isaiah_16,Jeremiah,0.6381772311580177,2
Isaiah_16,Isaiah_56_66,0.630295236412436,3
Isaiah_16,Ezekiel,0.6295111857636816,4
Isaiah_16,Hosea,0.6238265232416915,5
Isaiah_16,Isaiah_40_55,0.6217402700055711,6
Isaiah_16,Amos,0.6159534334324726,7
Isaiah_16,Isaiah_36_39,0.598224092437185,8
Isaiah_16,2 Kings,0.5895405124089141,9
Isaiah_16,1 Kings,0.5891686096331121,10
Isaiah_17,Isaiah_1_35,0.7217134152822804,1
Isaiah_17,Ezekiel,0.6524462377665787,2
Isaiah_17,Jeremiah,0.646836494114549,3
Isaiah_17,Isaiah_56_66,0.6417287179847714,4
Isaiah_17,Amos,0.6349718991396217,5
Isaiah_17,Hosea,0.6301322126006405,6
Isaiah_17,Isaiah_40_55,0.6277592751348929,7
Isaiah_17,2 Kings,0.6086697870851993,8
Isaiah_17,1 Kings,0.6073617506045875,9
Isaiah_17,Isaiah_36_39,0.6020802391211336,10
Isaiah_18,Isaiah_1_35,0.6278094931336177,1
Isaiah_18,Jeremiah,0.5924136598177165,2
