doc_id,chapter,actual_section,winner,winner_pct_votes,winner_weighted_pct_votes,vote_margin,weighted_vote_margin,second_pct_votes,winner_dominance_ratio,doc_entropy,effective_targets,consensus_strength,elbow_rank,n_targets,n_verses,winner_matches_actual_section,winner_pct_votes_pct,winner_weighted_pct_votes_pct,vote_margin_pct,weighted_vote_margin_pct
Isaiah_1,1,Isaiah_1_35,Isaiah_1_35,0.5666666666666667,0.5883668903803132,0.4666666666666667,0.4541387024608501,0.1,5.666666666666666,2.1403358187557617,4.408646552777769,2.4982330465740694,1,8,31,TRUE,56.666666666666664,58.836689038031324,46.666666666666664,45.41387024608501
Isaiah_2,2,Isaiah_1_35,Isaiah_1_35,0.7333333333333333,0.8501118568232662,0.6666666666666666,0.7606263982102908,0.06666666666666667,11,1.4366407419411673,2.7068984058194654,1.9850588309342747,1,6,22,TRUE,73.33333333333333,85.01118568232661,66.66666666666666,76.06263982102908
Isaiah_3,3,Isaiah_1_35,Isaiah_1_35,0.6,0.6375838926174496,0.39999999999999997,0.36912751677852346,0.2,2.9999999999999996,1.8212764279322333,3.5339372619638274,2.1203623571782964,1,7,26,TRUE,60,63.758389261744966,40,36.91275167785235
Isaiah_4,4,Isaiah_1_35,Isaiah_1_35,0.5,0.5369127516778524,0.4,0.40268456375838924,0.1,5,2.3446232142545793,5.079277212359847,2.5396386061799237,1,8,6,TRUE,50,53.691275167785236,40,40.26845637583892
Isaiah_5,5,Isaiah_1_35,Isaiah_1_35,0.4666666666666667,0.49217002237136465,0.33333333333333337,0.3131991051454139,0.13333333333333333,3.5,2.346465798504072,5.085768518589632,2.3733586420084953,1,7,30,TRUE,46.666666666666664,49.21700223713646,33.333333333333336,31.319910514541387
Isaiah_6,6,Isaiah_1_35,Isaiah_1_35,0.43333333333333335,0.45861297539149887,0.30000000000000004,0.2796420581655481,0.13333333333333333,3.25,2.744870467675263,6.703295195194947,2.9047612512511436,1,11,13,TRUE,43.333333333333336,45.86129753914989,30.000000000000004,27.96420581655481
Isaiah_7,7,Isaiah_1_35,Isaiah_1_35,0.8,0.8926174496644295,0.7333333333333334,0.8747203579418343,0.06666666666666667,12,1.172253928364927,2.2536350837915444,1.8029080670332358,1,6,25,TRUE,80,89.26174496644295,73.33333333333334,87.47203579418343
Isaiah_8,8,Isaiah_1_35,Isaiah_1_35,0.6,0.6711409395973155,0.5,0.5659955257270693,0.1,5.999999999999999,2.1131060113376825,4.326216938991184,2.5957301633947103,1,9,22,TRUE,60,67.11409395973155,50,56.59955257270693
Isaiah_9,9,Isaiah_1_35,Isaiah_1_35,0.6666666666666666,0.7606263982102909,0.5333333333333333,0.6554809843400448,0.13333333333333333,5,1.6256051990169438,3.085715812425428,2.057143874950285,1,6,21,TRUE,66.66666666666666,76.0626398210291,53.333333333333336,65.54809843400447
Isaiah_10,10,Isaiah_1_35,Isaiah_1_35,0.7,0.7673378076062639,0.6,0.6666666666666666,0.1,6.999999999999999,1.5404388162579374,2.908829662096066,2.036180763467246,1,6,34,TRUE,70,76.73378076062639,60,66.66666666666666
Isaiah_11,11,Isaiah_1_35,Isaiah_1_35,0.6,0.6711409395973155,0.4666666666666667,0.5615212527964206,0.13333333333333333,4.5,1.979772678004349,3.9443092736597527,2.3665855641958515,1,8,16,TRUE,60,67.11409395973155,46.666666666666664,56.152125279642064
Isaiah_12,12,Isaiah_1_35,Psalms,0.36666666666666664,0.447427293064877,0.2333333333333333,0.26845637583892623,0.13333333333333333,2.75,2.5050990021081763,5.676882976358281,2.081523757998036,1,7,6,FALSE,36.666666666666664,44.742729306487696,23.333333333333332,26.845637583892625
Isaiah_13,13,Isaiah_1_35,Isaiah_1_35,0.7,0.7718120805369126,0.5666666666666667,0.6510067114093958,0.13333333333333333,5.25,1.4989350663300531,2.826340075320305,1.9784380527242136,1,6,22,TRUE,70,77.18120805369126,56.666666666666664,65.10067114093958
Isaiah_14,14,Isaiah_1_35,Isaiah_1_35,0.5,0.5369127516778524,0.4,0.40268456375838924,0.1,5,2.2779565475879124,4.849905200155305,2.4249526000776527,1,7,32,TRUE,50,53.691275167785236,40,40.26845637583892
Isaiah_15,15,Isaiah_1_35,Isaiah_1_35,0.5666666666666667,0.6263982102908278,0.43333333333333335,0.4854586129753915,0.13333333333333333,4.25,2.0321654021612106,4.090183027033929,2.3177703819858935,1,7,9,TRUE,56.666666666666664,62.639821029082775,43.333333333333336,48.54586129753915
Isaiah_16,16,Isaiah_1_35,Isaiah_1_35,0.6666666666666666,0.7606263982102909,0.5333333333333333,0.5816554809843401,0.13333333333333333,5,1.4922718656836105,2.813316499487951,1.8755443329919672,1,5,14,TRUE,66.66666666666666,76.0626398210291,53.333333333333336,58.16554809843401
Isaiah_17,17,Isaiah_1_35,Isaiah_1_35,0.7,0.7315436241610739,0.6,0.5973154362416108,0.1,6.999999999999999,1.607105482924604,3.0464002093995193,2.1324801465796632,1,7,14,TRUE,70,73.15436241610739,60,59.73154362416108
