doc_id,book,chapter,section,macro_genre,n_verses,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Isaiah_1,Isaiah,1,Isaiah_1_35,Prophetic,31,-2.7059377745523165,-0.8024674855789657,-0.8168554107891206,0.2738323697041359,-0.1728427190115855,-0.14586090761182452,-0.21224599615283637,0.010889767733941957,0.01845637169742162,-0.39295755741817434,-0.11318547913127275,0.032912904635285414,-0.06062474668840632,0.045775700859551224,0.007726042497826071
Isaiah_2,Isaiah,2,Isaiah_1_35,Prophetic,22,-2.8707713236537025,-0.15588899040606874,-0.738498455760196,0.7475565109479068,-0.01907424957961623,-0.1322676717108878,-0.058418485013888716,-0.049213733879483225,-0.2036194229774082,-0.5870936708611382,-0.3853024703957224,0.0723089994770263,-0.06033622447997278,-0.006894837534319948,0.06392217220759416
Isaiah_3,Isaiah,3,Isaiah_1_35,Prophetic,26,-3.281780284922421,-0.7817880312909156,-0.2391895597153852,0.5397098575665565,-0.10608812823686692,-0.15940423619018826,0.07314861295166818,0.03683536755422177,-0.14228923461423987,-0.43103493397435816,-0.279434017994956,-0.022726743396257958,-0.020674644464517708,0.05613587345656747,0.04331269688545385
Isaiah_4,Isaiah,4,Isaiah_1_35,Prophetic,6,1.9318019038511292,1.1022450068888385,-1.5751182278482045,0.9812853866554686,-0.20049365553768428,-0.2317819845985803,-0.16922047036748464,-0.3030835313672342,-0.13294655152507667,-0.4247109360414498,-0.14535191331117167,-0.03558702460062163,0.034375940700205054,0.057097448807036946,0.07442399850381715
Isaiah_5,Isaiah,5,Isaiah_1_35,Prophetic,30,-4.141434286134058,-1.049929509340688,-0.5751804100773947,0.406808145215632,-0.3269770901936363,-0.22950219342897463,-0.08173408974467813,0.0856586782045202,-0.20068011148680767,-0.4888475195655796,-0.25565363290751053,0.10090321505432484,-0.035944560327226906,0.034348219854876454,0.05736945731499121
Isaiah_6,Isaiah,6,Isaiah_1_35,Prophetic,13,-0.8757350830693087,0.5180302022150837,-0.3930750577771501,0.19269153533216302,-0.3168984963200778,0.060164459477383504,-0.20842328019385414,-0.067611501853611,-0.1699444102882216,-0.2644141326216962,-0.18466343935902413,0.07943172428155415,-5.204803498065746e-4,-0.0016221728188037434,0.04487929920091592
Isaiah_7,Isaiah,7,Isaiah_1_35,Prophetic,25,-3.6285502385443933,0.3045481932389794,-0.6218513429876272,0.6834095770276355,0.08047014300066234,-0.19208881684309032,-0.27051201792386836,0.08683583632261163,0.05397233247268844,-0.5494499450461958,-0.20880940877660598,0.11234843400244446,0.02098200087504635,0.09246997517433192,0.041880957601271175
Isaiah_8,Isaiah,8,Isaiah_1_35,Prophetic,22,-2.7767834140416263,-0.06779092834233129,-0.7279547020746041,0.18651045517824866,-0.30077131826233017,-0.2818686376642114,-0.2245222628070323,0.053208647356227025,-0.018336069655495398,-0.5465269099228148,-0.1308272220322234,0.04846998110522442,-0.037475617001462194,0.03344880142569755,0.02500994518791362
Isaiah_9,Isaiah,9,Isaiah_1_35,Prophetic,21,-3.2787285555495016,-0.986649800356763,-0.08469363856944724,0.622079943729003,-0.09198585570702478,-0.3124110614643799,-0.030330167027098176,0.24437852812778404,-0.07339159597792821,-0.5592043865258536,-0.2831152133986271,0.07767381223858491,-0.03805750406237063,0.050581908617882226,0.05749629864365938
Isaiah_10,Isaiah,10,Isaiah_1_35,Prophetic,34,-4.912814989986804,-1.1001526458510638,-0.2164364618674934,0.43656428771702005,-0.09613207845262994,-0.02793839144329066,-0.040523881289833474,0.15644830358265852,-0.05871538351742123,-0.6970691761740881,-0.27504630060837876,0.12016040036312517,-0.0050343544036617754,0.07949202562164132,0.04871603907214112
Isaiah_11,Isaiah,11,Isaiah_1_35,Prophetic,16,-2.5094264244787707,0.11859433675691979,-1.001430793885656,0.9888905830677582,-0.3293738244615748,-0.288996846074605,-0.28764168635484366,0.09818434987224556,-0.2194475333982428,-0.6102755023901203,-0.24332512661393024,0.1295574641841286,0.03146326467472437,0.022777078238208796,0.06117627614218227
Isaiah_12,Isaiah,12,Isaiah_1_35,Prophetic,6,3.868090594147492,0.019260024938843545,-0.6253160343738284,-0.25164379827754474,0.07778788234592476,-0.14241089194340642,-0.23957200962996722,-0.11741245983380162,-0.02089213695692861,-0.2220842046675979,-0.007768615242232518,0.16505996578902715,-0.043918737818716413,-0.005759241591912979,0.04610011684381768
Isaiah_13,Isaiah,13,Isaiah_1_35,Prophetic,22,-2.539417272686147,-0.7311968909553455,-1.398447016984921,0.721171037093289,-0.3046798095205592,-0.35324747401596024,-0.3966612929457591,0.1767700726477111,-0.1257328831615965,-0.40478662239544205,-0.2971852531764994,0.05268168283817005,-0.09881684500949861,0.045448632172851354,0.015708703814484123
Isaiah_14,Isaiah,14,Isaiah_1_35,Prophetic,32,-5.583468800485934,-1.5826234703052036,-0.2687114534616285,0.1293330685906604,0.15337350673121652,-0.09380137796959798,-0.028511716306396373,-0.004612347122668725,-0.07037500288187956,-0.40884498366631505,-0.2613402601221972,0.10508261269077689,-0.05687419955590975,0.06407758218939028,0.06027387104193452
Isaiah_15,Isaiah,15,Isaiah_1_35,Prophetic,9,2.8118611994601244,1.242068967508624,-1.6754674664084002,0.6932310868833548,-0.2963854902224974,-0.17678255578829427,-0.3666177571139433,0.15979166554515098,-0.05867460230186078,-0.4002335607862993,-0.1685846585954993,0.009070451825008402,-0.08401989566814591,0.0935363719923824,0.0598386770083702
Isaiah_16,Isaiah,16,Isaiah_1_35,Prophetic,14,-1.3803717896564647,-0.15181515119372233,-0.9145658183826292,0.6122151016819518,-0.0013727100113605437,-0.24095771509013456,-0.29718951845165026,0.03783941225428042,-0.04434584296621005,-0.46423603264662466,-0.20626793412875785,0.08715520843932842,-0.055088652944920456,0.08728587486315639,0.05407632393659357
