feature_class,feature_variant,doc_id,neighbor_doc_id,similarity,rank
char,char3,Isaiah_30,Poetic/Wisdom,0.8991154259785047,2
char,char3,Isaiah_30,Narrative,0.8734121824826556,3
char,char3,Isaiah_31,Prophetic,0.8198481993945654,1
char,char3,Isaiah_31,Poetic/Wisdom,0.7918403478397082,2
char,char3,Isaiah_31,Narrative,0.7763117902417545,3
char,char3,Isaiah_32,Prophetic,0.8022247458067061,1
char,char3,Isaiah_32,Poetic/Wisdom,0.7757524095918072,2
char,char3,Isaiah_32,Narrative,0.7358601006388751,3
char,char3,Isaiah_33,Prophetic,0.8552252111737589,1
char,char3,Isaiah_33,Poetic/Wisdom,0.8418151323444798,2
char,char3,Isaiah_33,Narrative,0.7690663509023379,3
char,char3,Isaiah_34,Prophetic,0.869635801789517,1
char,char3,Isaiah_34,Poetic/Wisdom,0.8174032120097023,2
char,char3,Isaiah_34,Narrative,0.7971367580727257,3
char,char3,Isaiah_35,Prophetic,0.8009376697423587,1
char,char3,Isaiah_35,Poetic/Wisdom,0.7480147052307091,2
char,char3,Isaiah_35,Narrative,0.7296120429787937,3
char,char3,Isaiah_36,Narrative,0.8029038982387702,1
char,char3,Isaiah_36,Prophetic,0.791459842922236,2
char,char3,Isaiah_36,Poetic/Wisdom,0.7592884337792705,3
char,char3,Isaiah_37,Prophetic,0.8967150759905481,1
char,char3,Isaiah_37,Narrative,0.8959794308725687,2
char,char3,Isaiah_37,Poetic/Wisdom,0.8608842183623187,3
char,char3,Isaiah_38,Prophetic,0.8394436246575636,1
char,char3,Isaiah_38,Poetic/Wisdom,0.8275947024115428,2
char,char3,Isaiah_38,Narrative,0.8079772166720528,3
char,char3,Isaiah_39,Prophetic,0.7042455423754918,1
char,char3,Isaiah_39,Narrative,0.6957110523629925,2
char,char3,Isaiah_39,Poetic/Wisdom,0.6616557130937173,3
char,char3,Isaiah_40,Prophetic,0.8948988918269898,1
char,char3,Isaiah_40,Poetic/Wisdom,0.8930243096828006,2
char,char3,Isaiah_40,Narrative,0.8401035760603843,3
char,char3,Isaiah_41,Prophetic,0.9181301615403848,1
char,char3,Isaiah_41,Poetic/Wisdom,0.8960797326164912,2
char,char3,Isaiah_41,Narrative,0.8690580726762808,3
char,char3,Isaiah_42,Prophetic,0.888086751604057,1
char,char3,Isaiah_42,Poetic/Wisdom,0.8852515619179112,2
char,char3,Isaiah_42,Narrative,0.8399155850133946,3
