author,n_pairs,mean_profile_distance,median_profile_distance,sd_profile_distance,max_profile_distance,mean_book_entropy,median_book_entropy,mean_effective_books,n_style_modes_occupied,mode_entropy,effective_style_modes
Joseph Smith,91,0.41878314911226583,0.43225904371092394,0.16367864167763685,0.7875412336518505,2.4352779490415384,2.353744615950708,5.642003665879428,1,-0,1
Oliver Cowdery,120,0.3473270809118953,0.3162940322175131,0.15045777658378193,0.8718806150502937,2.4578756586498742,2.5514098382834827,5.831025198758903,1,-0,1
Sidney Rigdon,990,0.3046176017943694,0.28272768854320784,0.11756106853132514,0.8424282650444234,2.198267853749864,2.3191399683813096,4.780608288497737,1,-0,1
