mosiah_priority,mosiah_priority_label,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes,mp_order
MP-1,MP-1_Mosiah_Alma_Helaman,171,151.1675227019079,0.8840206005959527,0.9541569396312072,0.534375,0.5392457973322252,1
MP-2,MP-2_3Nephi_to_Moroni,45,38.55954337762297,0.8568787417249549,0.9459856332637647,0.140625,0.1375498608549361,2
MP-3,MP-3_1Nephi_to_WordsOfMormon,104,90.60432166566606,0.8711954006314044,0.9605670397008614,0.325,0.32320434181283875,3
