doc_id,neighbor_doc_id,similarity,rank,author,author_code,short_name,chapter_title,target_book,target_chapter,target_header,mosiah_priority,mosiah_priority_label
OC-2,Alma_22,0.9407914626598153,5,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Alma,22,Alma 22,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Mosiah_23,0.9351789782556642,6,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Mosiah,23,Mosiah 23,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Alma_46,0.9351405133902124,7,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Alma,46,Alma 46,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Alma_42,0.934730656317935,8,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Alma,42,Alma 42,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Alma_27,0.9344517332080872,9,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Alma,27,Alma 27,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,1_Nephi_15,0.9333521252851711,10,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",1 Nephi,15,1 Nephi 15,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-2,Alma_17,0.932229299876281,11,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Alma,17,Alma 17,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Ether_13,0.9315418913324197,12,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Ether,13,Ether 13,MP-2,MP-2_3Nephi_to_Moroni
OC-2,2_Nephi_2,0.9314020816269084,13,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",2 Nephi,2,2 Nephi 2,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-2,Jacob_4,0.9302914522212253,14,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Jacob,4,Jacob 4,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-2,2_Nephi_9,0.9302081141090356,15,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",2 Nephi,9,2 Nephi 9,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-2,Alma_11,0.9299279651044029,16,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Alma,11,Alma 11,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Mosiah_8,0.9298808098066806,17,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Mosiah,8,Mosiah 8,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Alma_51,0.9298178703196693,18,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Alma,51,Alma 51,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Mosiah_29,0.9286361523614137,19,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Mosiah,29,Mosiah 29,MP-1,MP-1_Mosiah_Alma_Helaman
OC-2,Omni_1,0.9285096741368717,20,Oliver Cowdery,OC,OC-2,"Letter to WW Phelps, Letter 2, November 1834. LDS Messenger and Advocate Vol 1, No 2",Omni,1,Omni 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-3,Mosiah_7,0.9526603782480849,1,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Mosiah,7,Mosiah 7,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Mosiah_27,0.9452807681050391,2,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Mosiah,27,Mosiah 27,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Alma_10,0.9418962888639045,3,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Alma,10,Alma 10,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Alma_42,0.9319959512782319,4,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Alma,42,Alma 42,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,1_Nephi_15,0.9313303789363946,5,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",1 Nephi,15,1 Nephi 15,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-3,Omni_1,0.9308371795246314,6,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Omni,1,Omni 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-3,Enos_1,0.9286561251988459,7,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Enos,1,Enos 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-3,Alma_36,0.9262554592903933,8,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Alma,36,Alma 36,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,3_Nephi_5,0.9197503927726368,9,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",3 Nephi,5,3 Nephi 5,MP-2,MP-2_3Nephi_to_Moroni
OC-3,Alma_11,0.9189955044421758,10,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Alma,11,Alma 11,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Alma_22,0.9188330112092556,11,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Alma,22,Alma 22,MP-1,MP-1_Mosiah_Alma_Helaman
OC-3,Alma_40,0.9185218726608328,12,Oliver Cowdery,OC,OC-3,"Letter to WW Phelps, Letter 3, December 1834. LDS Messenger and Advocate Vol 1, No 3",Alma,40,Alma 40,MP-1,MP-1_Mosiah_Alma_Helaman
