source_doc,target_doc,similarity,rank,source_corpus,source_book,source_chapter,source_header,author,author_code,short_name,chapter_original,chapter_title,target_corpus,target_source,target_book,target_chapter,target_section,target_genre,target_header
SR-1,DC_1835__075__sections_77-78,0.8452364306601474,15,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,77,Sections 77-78,Modern_Scripture,Sections 77 & 78 (1835 Doctrine and Covenants)
SR-1,DC_1835__020__section_22,0.843829756891034,16,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,22,Section 22,Modern_Scripture,Section 22 (1835 Doctrine and Covenants)
SR-1,DC_1835__090__section_95,0.8436550527238065,17,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,95,Section 95,Modern_Scripture,Section 95 (1835 Doctrine and Covenants)
SR-1,BOC_1833__Book_of_Commandments_23,0.8436413903014522,18,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",BOC,BOC_1833,Book of Commandments,23,BOC_23,Modern_Revelation,"[edit] A Commandment unto the church of Christ, which was established in these last days, in the year of our Lord one thousand eight hundred and thirty; Given in Fayette, New-York, April, 1830, in consequence of some desiring to unite with the church without re- baptism, who had previously been baptized."
SR-1,DC_1835__039__section_41,0.8430609929166348,19,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,41,Section 41,Modern_Scripture,Section 41 (1835 Doctrine and Covenants)
SR-1,BOC_1833__Book_of_Commandments_65,0.8415139840457561,20,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",BOC,BOC_1833,Book of Commandments,65,BOC_65,Modern_Revelation,"[edit] A Revelation to the elders of the church, given in Kirtland, Ohio, September, 1831."
SR-10,Mosiah_27,0.9488516968214072,1,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Mosiah,27,MP-1,Modern_Scripture,Mosiah 27
SR-10,Alma_17,0.9486441887318801,2,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,17,MP-1,Modern_Scripture,Alma 17
SR-10,Alma_50,0.9467699412317528,3,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,50,MP-1,Modern_Scripture,Alma 50
SR-10,Alma_43,0.9420407844762843,4,JSO,Sidney Rigdon,10,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",Sidney Rigdon,SR,SR-10,3-8,"Series of 14 articles from Evening and Morning Star (Vol II, 23: Kirtland, OH August 1834) titled Millenium",BOM,BOM_1830,Alma,43,MP-1,Modern_Scripture,Alma 43
