source_doc,short_name,source_header,target_corpus,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes
SR-16,SR-16,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Millenium",KJV,2,1.8561296859605,0.92806484298025,0.9313661845758764,0.1,0.09975267143880821
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOM,13,12.261836707139182,0.9432182082414756,0.9572023502666706,0.65,0.6494502450472278
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",DC,5,4.730358156110309,0.946071631222062,0.9523560431615447,0.25,0.2505442159296015
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",KJV,1,0.9458347598079606,0.9458347598079606,0.9458347598079606,0.05,0.05009629725160337
SR-17,SR-17,"Series of 9 articles from Evening and Morning Star (Vol I, 11: Independence, MO April 1833) titled Gospel",BOC,1,0.942303090109059,0.942303090109059,0.942303090109059,0.05,0.049909241771567324
SR-18,SR-18,"Series of 9 articles from Evening and Morning Star (Vol II, 24: Kirtland, OH September 1834) titled Gospel",BOM,18,16.956167849203677,0.94200932495576,0.9544160954020086,0.9,0.9006495492694581
SR-18,SR-18,"Series of 9 articles from Evening and Morning Star (Vol II, 24: Kirtland, OH September 1834) titled Gospel",DC,2,1.8704310903697632,0.9352155451848816,0.9378894839950698,0.1,0.09935045073054188
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",BOM,12,10.6180954721721,0.884841289347675,0.9059824861801317,0.6,0.6001111736159471
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",KJV,4,3.5581011414423607,0.8895252853605902,0.9083703902559834,0.2,0.20109597407852423
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",DC,3,2.629289438132973,0.876429812710991,0.8783358907908735,0.15,0.14860159947038176
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",BOC,1,0.8880613091409963,0.8880613091409963,0.8880613091409963,0.05,0.05019125283514684
