source_doc,short_name,source_header,target_corpus,target_book,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",DC,Doctrine and Covenants,6,5.575724632646566,0.9292874387744278,0.9402092291828028,0.3,0.302317943938835
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",BOC,Book of Commandments,2,1.8670326973458726,0.9335163486729363,0.9416445404433541,0.1,0.10123123423695086
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",KJV,2 Kings,2,1.840034928341518,0.920017464170759,0.9236925526252289,0.1,0.09976740477009681
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",KJV,Jeremiah,2,1.8296417192838068,0.9148208596419034,0.9168229974996588,0.1,0.0992038809592442
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",BOM,Mosiah,2,1.8210093556527154,0.9105046778263577,0.9107251796046152,0.1,0.09873583086778098
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",KJV,Isaiah,1,0.9247104513225567,0.9247104513225567,0.9247104513225567,0.05,0.05013815796170219
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",BOM,2 Nephi,1,0.9216680702605312,0.9216680702605312,0.9216680702605312,0.05,0.04997319888499947
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",BOM,Alma,1,0.921170498477955,0.921170498477955,0.921170498477955,0.05,0.049946220350695666
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",KJV,1 Kings,1,0.9159759133428478,0.9159759133428478,0.9159759133428478,0.05,0.04966456793757866
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",KJV,1 Samuel,1,0.9143313593538203,0.9143313593538203,0.9143313593538203,0.05,0.04957539958486839
SR-13,SR-13,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Millenium",BOM,Helaman,1,0.9119477710718891,0.9119477710718891,0.9119477710718891,0.05,0.049446160507247705
SR-14,SR-14,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Millenium",DC,Doctrine and Covenants,5,4.593904866153413,0.9187809732306826,0.9359449371035722,0.25,0.2499285433945199
SR-14,SR-14,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Millenium",KJV,Jeremiah,4,3.665410341354212,0.916352585338553,0.9282983637408259,0.2,0.19941437497048842
SR-14,SR-14,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Millenium",KJV,Isaiah,3,2.789593923086193,0.9298646410287309,0.9377846824596009,0.15,0.15176612624172997
SR-14,SR-14,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Millenium",BOM,2 Nephi,3,2.7678883001234187,0.9226294333744729,0.9289008527570974,0.15,0.15058524529434128
SR-14,SR-14,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Millenium",BOM,Alma,2,1.828542093525491,0.9142710467627455,0.9144267950050166,0.1,0.09948069785629955
SR-14,SR-14,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Millenium",BOM,Mormon,2,1.8206116526403333,0.9103058263201667,0.9104696013033489,0.1,0.0990492471413518
SR-14,SR-14,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Millenium",KJV,Ezekiel,1,0.9149220269502167,0.9149220269502167,0.9149220269502167,0.05,0.0497757651012691
SR-15,SR-15,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Millenium",KJV,Ezekiel,7,6.64906360259822,0.9498662289426029,0.9619283426437135,0.35,0.3492777306358598
SR-15,SR-15,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Millenium",KJV,Jeremiah,6,5.724977968457801,0.9541629947429668,0.9634269982937307,0.3,0.30073517600010014
SR-15,SR-15,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Millenium",DC,Doctrine and Covenants,3,2.8649955288363933,0.9549985096121312,0.9604629482381195,0.15,0.15049925770041217
SR-15,SR-15,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Millenium",BOC,Book of Commandments,1,0.9552707036006364,0.9552707036006364,0.9552707036006364,0.05,0.05018071768273818
SR-15,SR-15,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Millenium",BOM,3 Nephi,1,0.9512138086603169,0.9512138086603169,0.9512138086603169,0.05,0.04996760751522088
SR-15,SR-15,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Millenium",KJV,Isaiah,1,0.9457544414220634,0.9457544414220634,0.9457544414220634,0.05,0.049680824967534044
SR-15,SR-15,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Millenium",BOM,2 Nephi,1,0.9453329809988756,0.9453329809988756,0.9453329809988756,0.05,0.04965868549813472
SR-16,SR-16,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Millenium",BOM,Alma,9,8.376093366118209,0.9306770406798011,0.9401450243449425,0.45,0.45015049099804755
SR-16,SR-16,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Millenium",BOM,Mosiah,4,3.7361860705437957,0.9340465176359489,0.9448565105950334,0.2,0.20079121860299717
