doc_id,doc_book,doc_chapter,doc_section,neighbor_section,vote_count,similarity_sum,mean_rank,mean_distance,count_rank,similarity_rank
Isaiah_1,Isaiah,1,Isaiah_1_35,Jeremiah,26,17.807244814142205,3.076923076923077,0.3619267558559593,1,1
Isaiah_1,Isaiah,1,Isaiah_1_35,Psalms,9,7.35758047710525,2.7777777777777777,0.22812284316086867,2,2
Isaiah_1,Isaiah,1,Isaiah_1_35,Isaiah_1_35,8,6.182032462511009,2.875,0.2827452172682728,3,3
Isaiah_1,Isaiah,1,Isaiah_1_35,Amos,2,1.6006095512947174,2,0.28929476554796013,4,4
Isaiah_1,Isaiah,1,Isaiah_1_35,Ezekiel,2,1.5374433126012264,4,0.3063204016260523,4,5
Isaiah_1,Isaiah,1,Isaiah_1_35,Isaiah_40_55,2,1.4963568804058078,4.5,0.3443230710546403,4,6
Isaiah_1,Isaiah,1,Isaiah_1_35,Isaiah_56_66,1,0.3210801054673391,1,0.6789198945326609,7,7
Isaiah_10,Isaiah,10,Isaiah_1_35,Isaiah_1_35,23,16.0666474722021,2.9130434782608696,0.3300454462464877,1,1
Isaiah_10,Isaiah,10,Isaiah_1_35,Psalms,12,9.69348467205399,3,0.2424008005617891,2,2
Isaiah_10,Isaiah,10,Isaiah_1_35,Jeremiah,11,8.420388050658214,2.909090909090909,0.32195848138361227,3,3
Isaiah_10,Isaiah,10,Isaiah_1_35,Ezekiel,2,1.7213608187505787,3,0.1393195906247106,4,4
Isaiah_10,Isaiah,10,Isaiah_1_35,Job,1,0.8514858638036994,4,0.1485141361963006,5,5
Isaiah_10,Isaiah,10,Isaiah_1_35,Isaiah_40_55,1,0.6385024569409358,5,0.5661646860232901,5,6
Isaiah_11,Isaiah,11,Isaiah_1_35,Isaiah_1_35,25,18.060825468202687,2.88,0.299922236407657,1,1
Isaiah_11,Isaiah,11,Isaiah_1_35,Psalms,13,10.727911557224402,2.923076923076923,0.22079139933967337,2,2
Isaiah_11,Isaiah,11,Isaiah_1_35,Jeremiah,5,3.9204379920692105,3.6,0.284304428127843,3,3
Isaiah_11,Isaiah,11,Isaiah_1_35,Ezekiel,2,1.6490079720564326,3,0.23976877693952056,4,4
Isaiah_11,Isaiah,11,Isaiah_1_35,2 Kings,2,1.5969335012029755,4,0.26120236534566665,4,5
Isaiah_11,Isaiah,11,Isaiah_1_35,Amos,2,1.4112647274272887,2.5,0.41722845549017834,4,6
Isaiah_11,Isaiah,11,Isaiah_1_35,Isaiah_40_55,1,0.2810064719156413,3,0.7189935280843587,7,7
Isaiah_12,Isaiah,12,Isaiah_1_35,Psalms,28,19.956399821258955,2.7857142857142856,0.3464375977394316,1,1
Isaiah_12,Isaiah,12,Isaiah_1_35,Isaiah_1_35,8,4.4963837186065865,2.25,0.4565234850763721,2,2
Isaiah_12,Isaiah,12,Isaiah_1_35,Jeremiah,5,4.236678094439989,4.2,0.1694089446999601,3,3
Isaiah_12,Isaiah,12,Isaiah_1_35,Ezekiel,3,1.831436923012682,3.6666666666666665,0.41704096707789284,4,4
Isaiah_12,Isaiah,12,Isaiah_1_35,Isaiah_40_55,2,0.838790783608687,2.5,0.5806046081956565,5,6
Isaiah_12,Isaiah,12,Isaiah_1_35,Job,1,0.8421213937840623,5,0.15787860621593774,6,5
Isaiah_12,Isaiah,12,Isaiah_1_35,Hosea,1,0.7515439757636829,3,0.3305941265563975,6,7
Isaiah_12,Isaiah,12,Isaiah_1_35,1 Samuel,1,0.6629563023938391,4,0.33704369760616093,6,8
Isaiah_12,Isaiah,12,Isaiah_1_35,1 Kings,1,0.6628108125898803,5,0.3371891874101197,6,9
Isaiah_13,Isaiah,13,Isaiah_1_35,Isaiah_1_35,16,10.584159080791034,3.0625,0.3709186790356365,1,1
Isaiah_13,Isaiah,13,Isaiah_1_35,Psalms,12,9.554552005399895,3,0.2683822357566433,2,2
Isaiah_13,Isaiah,13,Isaiah_1_35,Jeremiah,9,6.795566173396833,2.888888888888889,0.2843410599160583,3,3
Isaiah_13,Isaiah,13,Isaiah_1_35,Ezekiel,6,4.433922727262478,2.8333333333333335,0.3485413596544294,4,4
Isaiah_13,Isaiah,13,Isaiah_1_35,1 Kings,2,1.5273916731978643,2,0.2363041634010679,5,5
Isaiah_13,Isaiah,13,Isaiah_1_35,2 Kings,2,1.5234896019203026,3,0.2382551990398487,5,6
Isaiah_13,Isaiah,13,Isaiah_1_35,2 Samuel,1,0.7568766361623526,5,0.24312336383764743,7,7
Isaiah_13,Isaiah,13,Isaiah_1_35,Amos,1,0.7163666379258807,3,0.39593323733686425,7,8
Isaiah_13,Isaiah,13,Isaiah_1_35,Hosea,1,0.6518880853195792,4,0.5340056407224619,7,9
Isaiah_14,Isaiah,14,Isaiah_1_35,Jeremiah,26,18.66860401266845,2.769230769230769,0.31260033766736794,1,1
Isaiah_14,Isaiah,14,Isaiah_1_35,Psalms,10,8.21807359760772,3,0.22069971185500542,2,2
Isaiah_14,Isaiah,14,Isaiah_1_35,Isaiah_1_35,5,3.8387842941955688,4,0.3132463424063256,3,3
Isaiah_14,Isaiah,14,Isaiah_1_35,Ezekiel,5,3.8164751432492587,3.6,0.28772290317791127,3,4
Isaiah_14,Isaiah,14,Isaiah_1_35,Isaiah_40_55,3,2.5678682231848087,1.6666666666666667,0.14404392560506377,5,5
Isaiah_14,Isaiah,14,Isaiah_1_35,1 Kings,1,0.71536281312221806,5,0.3978920649166485,6,6
Isaiah_15,Isaiah,15,Isaiah_1_35,Isaiah_1_35,16,11.968918779211872,2.75,0.302093906776009,1,1
Isaiah_15,Isaiah,15,Isaiah_1_35,Psalms,11,8.469541076434561,3.090909090909091,0.26506616308005365,2,2
Isaiah_15,Isaiah,15,Isaiah_1_35,Jeremiah,11,7.695423744054313,2.3636363636363638,0.36218348904641845,2,3
Isaiah_15,Isaiah,15,Isaiah_1_35,Ezekiel,6,4.326837606809985,4.333333333333333,0.348993574785128,4,4
Isaiah_15,Isaiah,15,Isaiah_1_35,Hosea,1,0.9289855114369493,1,0.0710144885630507,5,5
Isaiah_15,Isaiah,15,Isaiah_1_35,Isaiah_40_55,1,0.8939273004571446,4,0.10607269954285536,5,6
Isaiah_15,Isaiah,15,Isaiah_1_35,Amos,1,0.6554068185476816,5,0.525769906110992,5,7
Isaiah_15,Isaiah,15,Isaiah_1_35,Proverbs,1,0.10678591159617479,2,0.8932140884038252,5,8
Isaiah_15,Isaiah,15,Isaiah_1_35,Job,1,0.09112113780030295,3,0.908878862199697,5,9
Isaiah_15,Isaiah,15,Isaiah_1_35,Isaiah_56_66,1,0.09058732454954666,5,0.9094126754504533,5,10
Isaiah_16,Isaiah,16,Isaiah_1_35,Isaiah_1_35,20,13.801934320153837,3.05,0.3362175575641858,1,1
Isaiah_16,Isaiah,16,Isaiah_1_35,Psalms,12,9.764597031117606,2.8333333333333335,0.23457038109705805,2,2
Isaiah_16,Isaiah,16,Isaiah_1_35,Jeremiah,10,7.4694541712248,2.6,0.3235640538797206,3,3
Isaiah_16,Isaiah,16,Isaiah_1_35,Ezekiel,4,2.5190414560195142,3.75,0.44042290282293656,4,4
Isaiah_16,Isaiah,16,Isaiah_1_35,2 Kings,2,1.6864844398230738,2.5,0.15675778008846308,5,5
Isaiah_16,Isaiah,16,Isaiah_1_35,Isaiah_40_55,1,0.9503684805005858,5,0.049631519499414245,6,6
Isaiah_16,Isaiah,16,Isaiah_1_35,Amos,1,0.17400469036265465,4,0.8259953096373454,6,7
Isaiah_17,Isaiah,17,Isaiah_1_35,Isaiah_1_35,25,18.304394390938175,2.72,0.29987929752588605,1,1
Isaiah_17,Isaiah,17,Isaiah_1_35,Psalms,11,9.04561565682983,3,0.22428271531426205,2,2
Isaiah_17,Isaiah,17,Isaiah_1_35,Jeremiah,8,5.301152687072779,3.625,0.41208921013405814,3,3
Isaiah_17,Isaiah,17,Isaiah_1_35,Ezekiel,4,2.7845886000699682,2.75,0.3373360035494395,4,4
Isaiah_17,Isaiah,17,Isaiah_1_35,Isaiah_40_55,2,1.5257803539924444,4.5,0.3055966560816994,5,5
Isaiah_18,Isaiah,18,Isaiah_1_35,Isaiah_1_35,13,8.24984057885339,2.8461538461538463,0.41656004721780737,1,2
Isaiah_18,Isaiah,18,Isaiah_1_35,Psalms,12,9.390214655378228,2.6666666666666665,0.25373240681773723,2,1
Isaiah_18,Isaiah,18,Isaiah_1_35,Ezekiel,10,7.952395903468423,2.9,0.22046287376477317,3,3
Isaiah_18,Isaiah,18,Isaiah_1_35,Jeremiah,9,5.569455759561439,2.888888888888889,0.42452502322378016,4,4
Isaiah_18,Isaiah,18,Isaiah_1_35,1 Samuel,1,0.9457509494273341,5,0.054249050572665936,5,5
Isaiah_18,Isaiah,18,Isaiah_1_35,Isaiah_56_66,1,0.7572769301488426,4,0.3205208823718561,5,6
Isaiah_18,Isaiah,18,Isaiah_1_35,Hosea,1,0.7563682002755834,5,0.32210740699522955,5,7
Isaiah_18,Isaiah,18,Isaiah_1_35,1 Kings,1,0.674722992072218,2,0.4820897045894154,5,8
Isaiah_18,Isaiah,18,Isaiah_1_35,Amos,1,0.6737987255495493,5,0.4841227240143579,5,9
Isaiah_18,Isaiah,18,Isaiah_1_35,2 Kings,1,0.6697650268297811,5,0.49306093919733296,5,10
Isaiah_19,Isaiah,19,Isaiah_1_35,Isaiah_1_35,19,14.01064377329504,3.5789473684210527,0.28744919644413425,1,1
Isaiah_19,Isaiah,19,Isaiah_1_35,Jeremiah,14,9.929029305130655,2.857142857142857,0.3380403808108723,2,2
Isaiah_19,Isaiah,19,Isaiah_1_35,Psalms,10,8.32350521344653,3,0.2055629707867876,3,3
Isaiah_19,Isaiah,19,Isaiah_1_35,Ezekiel,5,3.734369174639985,1.2,0.32431548467759724,4,4
Isaiah_19,Isaiah,19,Isaiah_1_35,Hosea,2,1.482517830894957,3,0.34905857977719246,5,5
Isaiah_2,Isaiah,2,Isaiah_1_35,Jeremiah,13,10.608547618824677,2.6923076923076925,0.22898503976242282,1,1
Isaiah_2,Isaiah,2,Isaiah_1_35,Isaiah_1_35,13,10.434959987052032,2.923076923076923,0.22601831739859463,1,2
Isaiah_2,Isaiah,2,Isaiah_1_35,Psalms,12,8.841013945575991,3.0833333333333335,0.29358393790655973,3,3
Isaiah_2,Isaiah,2,Isaiah_1_35,Ezekiel,4,2.7777657510969225,2.75,0.39805725181438745,4,4
Isaiah_2,Isaiah,2,Isaiah_1_35,2 Kings,3,1.225839335525781,3.3333333333333335,0.6397554345223121,5,5
Isaiah_2,Isaiah,2,Isaiah_1_35,1 Kings,1,0.9534959433333164,5,0.04650405666668356,6,6
Isaiah_2,Isaiah,2,Isaiah_1_35,Hosea,1,0.7333249030435959,5,0.36365203997517914,6,7
Isaiah_2,Isaiah,2,Isaiah_1_35,Isaiah_56_66,1,0.6962988894707894,5,0.4361648641433763,6,8
Isaiah_2,Isaiah,2,Isaiah_1_35,Amos,1,0.690995167780628,1,0.44718812319896367,6,9
Isaiah_2,Isaiah,2,Isaiah_1_35,1 Samuel,1,0.2589617818609805,3,0.7410382181390195,6,10
Isaiah_20,Isaiah,20,Isaiah_1_35,Psalms,14,11.10305468963174,3,0.28207102499949566,1,1
Isaiah_20,Isaiah,20,Isaiah_1_35,Ezekiel,8,5.50170385308565,3.875,0.41307629797964884,2,2
Isaiah_20,Isaiah,20,Isaiah_1_35,2 Kings,7,3.4262829690243697,2.857142857142857,0.51053100442509,3,4
Isaiah_20,Isaiah,20,Isaiah_1_35,Isaiah_1_35,6,3.950552912210867,2,0.48341538954485863,4,3
Isaiah_20,Isaiah,20,Isaiah_1_35,Jeremiah,4,3.155053683914394,3,0.2312534313564154,5,5
Isaiah_20,Isaiah,20,Isaiah_1_35,Isaiah_36_39,4,1.8959915136381766,2.75,0.5260021215904558,5,7
Isaiah_20,Isaiah,20,Isaiah_1_35,1 Kings,3,2.5717220007142747,3.6666666666666665,0.14275933309524172,7,6
Isaiah_20,Isaiah,20,Isaiah_1_35,2 Samuel,2,1.8549981643338915,3,0.07250091783305423,8,8
Isaiah_20,Isaiah,20,Isaiah_1_35,Hosea,2,1.5148109206043308,2.5,0.320299644680187,8,9
Isaiah_21,Isaiah,21,Isaiah_1_35,Jeremiah,16,10.667651632278368,3.25,0.3671529358687709,1,1
Isaiah_21,Isaiah,21,Isaiah_1_35,Psalms,12,9.592353363207302,3,0.26228154605845183,2,2
Isaiah_21,Isaiah,21,Isaiah_1_35,Isaiah_1_35,10,6.9670487628646365,2.2,0.358956679986112,3,3
Isaiah_21,Isaiah,21,Isaiah_1_35,Ezekiel,3,2.365311551315227,2.6666666666666665,0.29244775858481453,4,4
